Origem,Destino
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Física
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Ciências Econômicas
Universidade Federal de Viçosa/GRADUACAO/Ciências Econômicas,Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Economia
Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Economia,Universidade Federal de Minas Gerais/DOUTORADO/Economia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Université Joseph Fourier - Grenoble I/GRADUACAO/Computer Networks And Telecommunications
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação,University of Washington/MESTRADO/Master Of Science In Cyber Security Engineering
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Comunicação Social
Centro Universitário de Belo Horizonte/GRADUACAO/Comunicação Social,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia De Produção
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia De Produção,Universidade Federal de Minas Gerais/MESTRADO/Engenharia De Produção
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Comunicação Social - Jornalismo
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Programa Especial De Formação De Docente,Universidade Federal de Minas Gerais/MESTRADO/Comunicação Social
Universidade Federal de Minas Gerais/MESTRADO/Comunicação Social,Universidade Federal de Minas Gerais/DOUTORADO/Comunicação Social
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Psicologia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Arquitetura E Urbanismo
Universidade Federal de Minas Gerais/GRADUACAO/Arquitetura E Urbanismo,Universidade Federal de Minas Gerais/MESTRADO/Arquitetura
Universidade Federal de Minas Gerais/MESTRADO/Arquitetura,Universidade Federal de Minas Gerais/DOUTORADO/Arquitetura
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Engenharia Elétrica
Universidade Federal de Viçosa/GRADUACAO/Engenharia Elétrica,Universidade Federal de Viçosa/MESTRADO/Engenharia Agrícola
Universidade Federal de Viçosa/MESTRADO/Engenharia Agrícola,Universidade Federal de Viçosa/DOUTORADO/Engenharia Agrícola
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade do Sul de Santa Catarina/GRADUACAO/Formação Pedagógica Para Educação Profissional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade do Sul de Santa Catarina/GRADUACAO/Formação Pedagógica Para Educação Profissional
Universidade do Sul de Santa Catarina/GRADUACAO/Formação Pedagógica Para Educação Profissional,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
None/GRADUACAO/None,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade do Estado de Minas Gerais/GRADUACAO/Pedagogia
Universidade do Estado de Minas Gerais/GRADUACAO/Pedagogia,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Educação Tecnológica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia Civil,Universidade Estadual de Maringá/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Museologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Museologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Museologia
Universidade Federal de Ouro Preto/GRADUACAO/Museologia,Universidade Federal de Ouro Preto/MESTRADO/Estética E Filosofia Da Arte
Universidade Federal de Ouro Preto/MESTRADO/Estética E Filosofia Da Arte,Universidade Federal do Rio de Janeiro/DOUTORADO/Filosofia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica (ênfase Mecatrônica)
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica (ênfase Mecatrônica),Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Geologia
Universidade Federal de Minas Gerais/GRADUACAO/Geologia,Universidade Federal de Ouro Preto/MESTRADO/Evolução Crustal E Recursos Naturais
None/GRADUACAO/None,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Da Energia - Cefet/mg - Ufsj
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Tecnologia Em Radiologia,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Materiais,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Civil
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Civil,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Civil
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciado Pleno Para Graduação De Professores Da
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Licenciado Pleno Para Graduação De Professores Da,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica
Universidade Federal de Minas Gerais/MESTRADO/Engenharia Mecânica,Universidade Federal de Minas Gerais/DOUTORADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Ciência Da Computação
Centro Universitário de Belo Horizonte/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia De Controle E Automação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Instituto Federal  Minas Gerais/GRADUACAO/Engenharia Elétrica
Instituto Federal  Minas Gerais/GRADUACAO/Engenharia Elétrica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Química
Universidade Federal de São João Del-Rei/GRADUACAO/Engenharia Química,Universidade Federal de São João Del-Rei/MESTRADO/Engenharia Química
Universidade Federal de São João Del-Rei/MESTRADO/Engenharia Química,Universidade Federal de Minas Gerais/DOUTORADO/Programa De Pós-graduação Em Engenharia Mecânica - Ufmg
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Operação Elétrica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Operação Elétrica,Universidade Federal de Minas Gerais/MESTRADO/Ciências Técnicas Nucleares
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica do Rio Grande do Sul/GRADUACAO/Engenharia De Controle E Automação
Pontifícia Universidade Católica do Rio Grande do Sul/GRADUACAO/Engenharia De Controle E Automação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Tecnologia
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciência Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Elétrica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Programa De Pós-graduação Em Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Química Licenciatura
Universidade Federal de Minas Gerais/GRADUACAO/Química Licenciatura,Universidade Federal de Minas Gerais/MESTRADO/Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Industrial Mecânica,Universidade Federal de Ouro Preto/MESTRADO/Engenharia De Materiais
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,"Universidade de São Paulo/GRADUACAO/Química Com Habilitação Em Química Tecnológica, Biotecnologia E Agroindustr"
"Universidade de São Paulo/GRADUACAO/Química Com Habilitação Em Química Tecnológica, Biotecnologia E Agroindustr",Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós Química
Universidade Federal de Minas Gerais/MESTRADO/Programa De Pós Química,Universidade Federal de Minas Gerais/DOUTORADO/Programa De Pós-graduação Em Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Estatística
Universidade Federal de Minas Gerais/GRADUACAO/Estatística,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
Universidade Federal de Minas Gerais/GRADUACAO/Estatística,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Computer Science
Centro Universitário de Belo Horizonte/GRADUACAO/Computer Science,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Mathematical And Computational Modeling
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Mathematical And Computational Modeling,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Mathematical And Computational Modeling
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Geografia
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Geografia,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Tratamento Da Informação Espacial
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Vale do Rio Doce/GRADUACAO/Química
Universidade Vale do Rio Doce/GRADUACAO/Química,Universidade Federal de São João Del-Rei/MESTRADO/Mestrado Multicêntrico Em Química
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Ciência Da Computação
Centro Universitário de Belo Horizonte/GRADUACAO/Ciência Da Computação,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Engenharia De Minas
Universidade Federal de Minas Gerais/GRADUACAO/Engenharia De Minas,Universidade Federal de Minas Gerais/MESTRADO/Engenharia Metalúrgica E De Minas
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Goiás/GRADUACAO/Medicina Veterinária
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Goiás/GRADUACAO/Medicina Veterinária
Universidade Federal de Goiás/GRADUACAO/Medicina Veterinária,Universidade Federal do Espírito Santo/MESTRADO/Economia
Universidade Federal do Espírito Santo/MESTRADO/Economia,Universidade Federal de Viçosa/DOUTORADO/Economia Aplicada
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecatrônica
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia Mecatrônica,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Engenharia Elétrica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciências Biológicas
Universidade Federal de Minas Gerais/GRADUACAO/Ciências Biológicas,Instituto Nacional de Pesquisas da Amazônia/MESTRADO/Biologia (ecologia)
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário de Belo Horizonte/GRADUACAO/Jornalismo
Centro Universitário de Belo Horizonte/GRADUACAO/Jornalismo,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Sistemas De Informação,Instituto Nacional de Pesquisas Espaciais/MESTRADO/Computação Aplicada
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação
Centro Federal de Educação Tecnológica de Minas Gerais/GRADUACAO/Engenharia De Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Alagoas/GRADUACAO/Matemática
Universidade Federal de Alagoas/GRADUACAO/Matemática,UNICAMP/MESTRADO/Mestrado Matematica Aplicada
UNICAMP/MESTRADO/Mestrado Matematica Aplicada,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Modelagem Matemática E Computacional
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Letras - Língua Portuguesa
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Letras - Língua Portuguesa
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Letras - Língua Portuguesa
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Ouro Preto/GRADUACAO/Letras - Língua Portuguesa
Universidade Federal de Ouro Preto/GRADUACAO/Letras - Língua Portuguesa,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens
Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagens,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Centro Universitário Newton Paiva/GRADUACAO/Jornalismo
Centro Universitário Newton Paiva/GRADUACAO/Jornalismo,Centro Federal de Educação Tecnológica de Minas Gerais/MESTRADO/Estudos De Linguagem
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Minas Gerais/GRADUACAO/Ciências Da Computação
Universidade Federal de Minas Gerais/GRADUACAO/Ciências Da Computação,Universidade Federal de Minas Gerais/MESTRADO/Ciências Da Computação
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Letras
Universidade Federal de Viçosa/GRADUACAO/Letras,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Educação
Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Educação,Centro Federal de Educação Tecnológica de Minas Gerais/DOUTORADO/Estudos De Linguagens
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Universidade Federal de Viçosa/GRADUACAO/Abi - Química
Universidade Federal de Viçosa/GRADUACAO/Abi - Química,Universidade Federal de Viçosa/MESTRADO/Ciência Florestal
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica
Pontifícia Universidade Católica de Minas Gerais/GRADUACAO/Engenharia Mecânica,Pontifícia Universidade Católica de Minas Gerais/MESTRADO/Engenharia Mecânica
None/CURSO-TECNICO-PROFISSIONALIZANTE/None,UNIVERSIDADE FEDERAL DE MINAS GERAIS/GRADUACAO/Ciências Sociais
